Date,Quantity,UnitPrice,ShippingAddress,ItemsInCart,TotalPrice,Feature_CartDensity,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,CouponCode_SAVE10,CouponCode_WINTER15
2023-07-17,1.0,473.96,942 Main St,3.0,473.96,3.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2023-01-24,2.0,533.81,914 Main St,3.0,1067.62,1.5,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2024-03-02,1.0,423.4,382 Main St,3.0,423.4,3.0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2025-03-26,1.0,431.44,891 Main St,3.0,431.44,3.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
2023-01-23,5.0,224.0,273 Main St,9.0,1120.0,1.8,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
2023-05-08,5.0,62.51,587 Main St,9.0,312.55,1.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2024-11-17,4.0,342.95,569 Main St,6.0,1371.8,1.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
2023-01-29,2.0,49.62,633 Main St,2.0,99.24,1.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
2025-04-09,4.0,273.25,755 Main St,5.0,1093.0,1.25,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2024-10-30,2.0,230.95,956 Main St,3.0,461.9,1.5,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
2024-07-24,1.0,399.98,709 Main St,3.0,399.98,3.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
2024-03-06,5.0,59.55,296 Main St,6.0,297.75,1.2,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
2024-02-22,1.0,472.74,881 Main St,6.0,472.74,6.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
2023-11-21,4.0,160.07,568 Main St,5.0,640.28,1.25,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
2024-09-20,3.0,423.53,930 Main St,6.0,1270.59,2.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
2025-03-22,2.0,426.7,895 Main St,5.0,853.4,2.5,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
2023-06-30,3.0,500.08,996 Main St,6.0,1500.24,2.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
2023-05-01,5.0,536.72,830 Main St,10.0,2683.6,2.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2023-06-05,1.0,162.77,912 Main St,4.0,162.77,4.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2023-01-07,4.0,576.52,926 Main St,5.0,2306.08,1.25,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
2024-12-07,2.0,465.15,128 Main St,2.0,930.3,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
2025-05-08,2.0,534.43,465 Main St,5.0,1068.86,2.5,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
2024-10-14,2.0,76.74,409 Main St,7.0,153.48,3.5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
2024-12-19,1.0,245.89,549 Main St,3.0,245.89,3.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
2025-02-27,3.0,256.46,666 Main St,4.0,769.38,1.3333333333333333,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
2023-08-20,2.0,344.02,267 Main St,4.0,688.04,2.0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
2023-12-05,3.0,611.45,657 Main St,4.0,1834.35,1.3333333333333333,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2024-05-06,2.0,151.66,980 Main St,6.0,303.32,3.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-12-14,3.0,499.21,871 Main St,8.0,1497.63,2.6666666666666665,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-04-21,2.0,550.18,996 Main St,3.0,1100.36,1.5,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2024-02-10,1.0,317.25,157 Main St,1.0,317.25,1.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
2024-06-26,4.0,550.14,223 Main St,4.0,2200.56,1.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
2023-07-19,2.0,209.94,323 Main St,3.0,419.88,1.5,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2023-08-26,2.0,80.77,464 Main St,4.0,161.54,2.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
2023-10-07,1.0,30.44,633 Main St,1.0,30.44,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2023-07-31,1.0,179.22,446 Main St,6.0,179.22,6.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2024-12-30,1.0,388.33,434 Main St,2.0,388.33,2.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
2024-09-08,1.0,586.44,232 Main St,5.0,586.44,5.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
2024-05-18,4.0,488.78,512 Main St,5.0,1955.12,1.25,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
2025-03-27,1.0,280.25,623 Main St,5.0,280.25,5.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
2025-06-24,3.0,344.4,565 Main St,3.0,1033.2,1.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2023-05-21,3.0,479.21,566 Main St,5.0,1437.63,1.6666666666666667,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
2023-01-22,5.0,314.27,842 Main St,6.0,1571.35,1.2,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
2023-01-15,4.0,474.69,202 Main St,6.0,1898.76,1.5,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
2024-09-11,4.0,593.27,811 Main St,5.0,2373.08,1.25,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True
2024-08-21,1.0,417.1,634 Main St,3.0,417.1,3.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2024-03-24,4.0,122.2,104 Main St,7.0,488.8,1.75,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2023-08-22,2.0,43.15,691 Main St,3.0,86.3,1.5,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
2025-02-02,1.0,564.86,813 Main St,6.0,564.86,6.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
2025-06-25,3.0,130.61,752 Main St,4.0,391.83,1.3333333333333333,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2023-12-30,5.0,81.7,385 Main St,6.0,408.5,1.2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2024-11-15,5.0,127.18,715 Main St,9.0,635.9,1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2024-12-09,4.0,12.1,440 Main St,8.0,48.4,2.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2023-12-11,3.0,490.92,709 Main St,5.0,1472.76,1.6666666666666667,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2023-05-11,3.0,478.65,552 Main St,4.0,1435.95,1.3333333333333333,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2023-05-26,1.0,629.21,384 Main St,2.0,629.21,2.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2025-06-10,3.0,434.45,923 Main St,4.0,1303.35,1.3333333333333333,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
2024-12-22,4.0,589.44,942 Main St,5.0,2357.76,1.25,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
2023-05-03,4.0,433.45,129 Main St,4.0,1733.8,1.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2023-06-24,5.0,90.87,622 Main St,5.0,454.35,1.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2023-09-26,3.0,398.17,917 Main St,5.0,1194.51,1.6666666666666667,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2024-03-31,4.0,382.88,239 Main St,6.0,1531.52,1.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-05-24,1.0,583.18,348 Main St,5.0,583.18,5.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
2024-08-06,4.0,175.36,146 Main St,4.0,701.44,1.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
2025-03-10,2.0,311.91,103 Main St,2.0,623.82,1.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
2023-06-27,3.0,589.56,591 Main St,6.0,1768.68,2.0,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
2023-06-08,2.0,394.3,496 Main St,6.0,788.6,3.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2024-01-05,4.0,565.2,971 Main St,9.0,2260.8,2.25,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False
2023-08-22,4.0,540.41,989 Main St,6.0,2161.64,1.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2023-08-28,2.0,165.49,967 Main St,4.0,330.98,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
2024-09-09,3.0,146.73,768 Main St,8.0,440.19,2.6666666666666665,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2024-06-19,5.0,643.03,447 Main St,5.0,3215.15,1.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2024-10-10,3.0,225.11,915 Main St,4.0,675.33,1.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False
2025-06-05,3.0,114.81,318 Main St,7.0,344.43,2.3333333333333335,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-02-25,5.0,455.33,291 Main St,8.0,2276.65,1.6,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2023-09-18,4.0,182.08,611 Main St,4.0,728.32,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
2023-03-15,5.0,492.75,196 Main St,6.0,2463.75,1.2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2024-06-10,4.0,48.61,203 Main St,7.0,194.44,1.75,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
2023-01-14,4.0,431.01,837 Main St,7.0,1724.04,1.75,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
2023-02-11,1.0,531.18,781 Main St,6.0,531.18,6.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
2023-03-24,4.0,117.51,839 Main St,7.0,470.04,1.75,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2024-06-01,2.0,232.83,103 Main St,7.0,465.66,3.5,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
2025-01-21,5.0,619.52,922 Main St,9.0,3097.6,1.8,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2023-01-14,2.0,228.54,533 Main St,3.0,457.08,1.5,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2025-04-12,1.0,201.58,717 Main St,2.0,201.58,2.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2023-02-17,3.0,664.79,743 Main St,6.0,1994.37,2.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
2023-11-25,1.0,381.02,152 Main St,6.0,381.02,6.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
2023-03-08,2.0,70.34,944 Main St,3.0,140.68,1.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2025-01-25,4.0,218.43,514 Main St,9.0,873.72,2.25,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-07-30,1.0,582.04,647 Main St,1.0,582.04,1.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2024-10-24,3.0,185.4,810 Main St,7.0,556.2,2.3333333333333335,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2023-09-08,3.0,465.05,126 Main St,3.0,1395.15,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2023-03-27,5.0,670.75,848 Main St,8.0,3330.4075,1.6,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
2024-12-28,5.0,48.38,522 Main St,9.0,241.9,1.8,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
2023-09-17,3.0,592.87,131 Main St,3.0,1778.61,1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
2024-04-21,1.0,220.77,388 Main St,5.0,220.77,5.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2025-05-07,3.0,309.22,620 Main St,7.0,927.66,2.3333333333333335,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2023-01-01,1.0,410.6,423 Main St,2.0,410.6,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2024-01-17,5.0,190.08,605 Main St,9.0,950.4,1.8,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-01-27,5.0,498.48,115 Main St,8.0,2492.4,1.6,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
2023-11-27,5.0,374.99,122 Main St,9.0,1874.95,1.8,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False
2023-03-19,4.0,291.35,109 Main St,6.0,1165.4,1.5,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
2023-03-08,1.0,535.5,593 Main St,5.0,535.5,5.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
2023-10-09,5.0,502.71,807 Main St,7.0,2513.55,1.4,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
2025-06-11,2.0,534.67,187 Main St,7.0,1069.34,3.5,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
2023-04-11,4.0,629.34,986 Main St,4.0,2517.36,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2023-11-30,1.0,410.78,673 Main St,1.0,410.78,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2024-04-15,2.0,533.02,588 Main St,2.0,1066.04,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
2023-07-06,3.0,278.04,727 Main St,5.0,834.12,1.6666666666666667,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
2024-07-28,4.0,283.79,563 Main St,8.0,1135.16,2.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
2024-11-06,2.0,512.65,758 Main St,5.0,1025.3,2.5,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,4.0,275.5,353 Main St,8.0,1102.0,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
2023-08-10,3.0,469.32,365 Main St,3.0,1407.96,1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
2023-02-17,4.0,21.07,244 Main St,4.0,84.28,1.0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False
2023-10-27,4.0,263.93,427 Main St,4.0,1055.72,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False
2025-01-22,3.0,501.3,513 Main St,3.0,1503.9,1.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2023-01-08,1.0,84.8,606 Main St,5.0,84.8,5.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
2023-03-28,4.0,450.75,583 Main St,6.0,1803.0,1.5,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-20,4.0,302.05,636 Main St,6.0,1208.2,1.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2025-06-23,2.0,199.7,583 Main St,4.0,399.4,2.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2023-08-04,2.0,68.81,642 Main St,5.0,137.62,2.5,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
2024-04-27,1.0,44.35,595 Main St,1.0,44.35,1.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
2024-11-26,2.0,250.98,598 Main St,5.0,501.96,2.5,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2023-12-21,1.0,298.06,478 Main St,3.0,298.06,3.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True
2023-04-10,1.0,583.9,714 Main St,1.0,583.9,1.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-05-31,3.0,528.14,388 Main St,3.0,1584.42,1.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
2023-11-18,3.0,684.14,151 Main St,3.0,2052.42,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2023-09-06,5.0,272.77,573 Main St,7.0,1363.85,1.4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2024-06-13,4.0,400.07,933 Main St,5.0,1600.28,1.25,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
2023-08-04,5.0,219.78,895 Main St,8.0,1098.9,1.6,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
2024-03-02,3.0,146.91,798 Main St,6.0,440.73,2.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-04-30,2.0,411.49,404 Main St,4.0,822.98,2.0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-05-06,2.0,465.18,893 Main St,2.0,930.36,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
2024-12-15,2.0,319.91,139 Main St,3.0,639.82,1.5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
2023-12-27,1.0,217.56,174 Main St,3.0,217.56,3.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2023-12-13,2.0,105.57,981 Main St,5.0,211.14,2.5,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
2023-12-01,5.0,444.76,947 Main St,7.0,2223.8,1.4,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
2025-01-02,2.0,399.04,659 Main St,3.0,798.08,1.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2024-12-18,4.0,534.48,437 Main St,9.0,2137.92,2.25,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
2023-07-20,4.0,408.21,727 Main St,9.0,1632.84,2.25,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
2023-02-27,1.0,424.4,446 Main St,6.0,424.4,6.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
2024-11-08,2.0,269.83,651 Main St,4.0,539.66,2.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
2025-02-21,2.0,564.58,636 Main St,4.0,1129.16,2.0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
2024-05-16,1.0,331.06,737 Main St,5.0,331.06,5.0,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True
2023-10-31,1.0,299.35,819 Main St,5.0,299.35,5.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2023-02-17,4.0,101.32,240 Main St,7.0,405.28,1.75,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2024-03-29,1.0,211.14,513 Main St,1.0,211.14,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
2023-07-27,3.0,65.86,917 Main St,8.0,197.58,2.6666666666666665,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
2025-06-24,1.0,641.39,277 Main St,1.0,641.39,1.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2023-12-28,5.0,536.58,667 Main St,5.0,2682.9,1.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
2024-09-14,2.0,500.29,226 Main St,7.0,1000.58,3.5,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
2025-03-04,3.0,86.29,565 Main St,6.0,258.87,2.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2023-05-27,2.0,384.14,219 Main St,2.0,768.28,1.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
2025-01-04,1.0,594.96,878 Main St,6.0,594.96,6.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2024-04-07,1.0,427.82,732 Main St,2.0,427.82,2.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
2025-04-04,4.0,662.94,535 Main St,8.0,2651.76,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
2023-08-15,2.0,148.22,336 Main St,7.0,296.44,3.5,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True
2025-04-06,1.0,254.12,365 Main St,1.0,254.12,1.0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
2024-03-24,3.0,664.46,806 Main St,4.0,1993.38,1.3333333333333333,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
2024-04-16,4.0,600.81,790 Main St,9.0,2403.24,2.25,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
2025-02-08,5.0,68.34,332 Main St,6.0,341.7,1.2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
2025-06-28,4.0,430.83,553 Main St,8.0,1723.32,2.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
2023-08-05,5.0,431.69,354 Main St,10.0,2158.45,2.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
2024-04-11,4.0,512.06,283 Main St,5.0,2048.24,1.25,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
2024-11-24,3.0,539.91,500 Main St,8.0,1619.73,2.6666666666666665,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
2023-03-18,5.0,316.07,970 Main St,10.0,1580.35,2.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2024-08-31,5.0,404.39,247 Main St,10.0,2021.95,2.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
